Дата,Доллар США,Евро,Фунт стерлингов,Китайский юань,Японская йена,value_RUB,value_USD,value_EUR,value_GBP,value_JPY,value_CNY
2017-04-04,56.1396,59.8953,70.3429,81.5141,50.3833,9.75,0.93,-0.42543,0.33531,0.026,2.78816
2017-03-31,56.3779,60.595,70.0101,81.8233,50.7292,9.75,0.92167,-0.42471,0.33744,-0.00386,2.5384
2017-03-30,57.0241,61.5347,70.8068,82.76,51.3268,9.75,0.92667,-0.42471,0.33744,0.00129,2.507
2017-03-29,56.9364,61.8102,71.6658,82.6891,51.454,9.75,0.92556,-0.42543,0.34038,0.01157,2.521
2017-03-28,57.0233,61.9615,71.6669,82.9249,51.7218,9.75,0.925,-0.42543,0.34163,-0.01271,2.448
2017-03-24,57.5228,62.0959,71.8575,83.525,51.7408,10.0,0.92667,-0.42543,0.34131,-0.01486,2.604
2017-03-23,57.636,62.2699,71.9585,83.693,51.7541,10.0,0.92611,-0.42257,0.34288,0.00729,2.657
2017-03-22,57.2323,61.7308,70.8937,82.979,50.7604,10.0,0.92667,-0.42257,0.34288,-0.04914,2.6507
2017-03-21,57.2847,61.6956,71.1648,82.972,50.8136,10.0,0.92533,-0.42471,0.34313,-0.04886,2.6477
2017-03-17,58.2437,62.4897,71.465,84.4442,51.3862,10.0,0.92422,-0.42543,0.34438,-0.04529,2.633
2017-03-16,59.1128,62.8428,72.3009,85.5294,51.5414,10.0,0.92578,-0.425,0.345,-0.058,2.441
2017-03-15,58.954,62.7447,71.4935,85.2774,51.2309,10.0,0.68667,-0.425,0.34388,-0.068,2.3869
2017-03-14,59.1327,63.2661,72.2069,85.5842,51.588,10.0,0.68689,-0.42214,0.34263,-0.062,2.3761
2017-10-03,58.8318,61.9911,71.5807,85.1475,51.3277,10.0,0.68189,-0.42214,0.34675,-0.06129,2.4019
2017-08-03,58.263,61.7063,71.1391,84.4575,51.1775,9.8125,0.68211,-0.42214,0.35206,-0.05986,2.4061
2017-07-03,58.337,61.8606,71.6203,84.6384,51.3462,10.0,0.68278,-0.42071,0.35556,-0.06414,2.4041
2017-03-03,58.4067,61.5198,71.7702,84.8676,51.1151,10.0,0.68278,-0.42071,0.35556,-0.06171,2.369
2017-02-03,58.3776,61.5417,72.2073,84.8573,51.4136,10.0,0.68278,-0.42071,0.354,-0.05229,2.4611
2017-01-03,57.9627,61.3883,72.065,84.3879,51.5614,10.0,0.68167,-0.42071,0.35025,-0.05214,2.4943
2017-02-28,57.9371,61.2569,71.8652,84.3175,51.5822,10.0,0.68056,-0.41571,0.3565,-0.05471,2.493
2017-02-23,57.4762,60.4535,71.805,83.5629,50.718,10.0,0.68333,-0.41714,0.35431,-0.01414,2.5271
2017-02-22,57.859,61.209,71.8724,84.062,50.9906,10.0,0.68333,-0.41571,0.35431,-0.00857,2.4845
2017-02-21,58.0967,61.6987,72.3304,84.4601,51.3971,10.0,0.68611,-0.41571,0.35588,-0.00857,2.483
2017-02-17,57.1507,60.654,71.3584,83.3222,50.2556,10.0,0.68611,-0.41571,0.35838,-0.01429,2.36
2017-02-16,56.7719,60.0249,70.7378,82.6639,49.5803,10.0,0.68611,-0.42071,0.35806,-0.00886,2.333
2017-02-15,57.7388,61.2955,72.3352,84.0877,50.8779,10.0,0.68556,-0.42071,0.35806,-0.011,2.2658
2017-02-14,58.0619,61.7662,72.7574,84.4107,51.1041,10.0,0.68722,-0.42071,0.35806,-0.00457,2.261
2017-10-02,59.0235,63.0253,74.1099,85.9499,52.526,10.0,0.68778,-0.42,0.36206,-0.003,2.2678
2017-09-02,59.5129,63.4467,74.3971,86.5089,53.0253,10.0,0.68667,-0.415,0.36113,-0.00586,2.272
2017-08-02,59.1933,63.2362,73.228,86.0393,52.7687,10.0,0.68667,-0.415,0.35863,-0.00943,2.2765
